Transaction_ID,Customer_ID,Product_Category,Quantity,Sales_Amount,Profit,Transaction_Date
T000076,C0092,Books,2,71.16,14.48,2023-10-30
T000077,C0367,Books,8,121.28,31.32,2023-10-30
T000078,C0956,Food & Beverage,2,48.72,9.72,2023-10-30
T000084,C0035,Home & Garden,4,735.64,136.51,2023-10-31
T000083,C0943,Home & Garden,4,1699.4,660.33,2023-10-31
T000082,C0776,Food & Beverage,6,276.72,45.05,2023-10-31
T000081,C0509,Food & Beverage,8,54.64,8.51,2023-10-31
T000080,C0428,Clothing,6,1078.8,193.12,2023-10-31
T000079,C0455,Home & Garden,10,1736.2,498.5,2023-10-31
T000085,C0206,Electronics,6,10103.64,3305.1,2023-11-01
T000086,C0081,Home & Garden,4,256.2,42.78,2023-11-01
T000087,C0932,Sports & Outdoors,8,2328.4,412.22,2023-11-01
T000088,C0562,Sports & Outdoors,9,1549.62,429.58,2023-11-01
T000089,C0872,Food & Beverage,1,18.65,4.96,2023-11-01
T000090,C0388,Toys & Games,4,196.04,76.04,2023-11-01
T000091,C0002,Electronics,4,2398.44,926.3,2023-11-01
T000100,C0730,Home & Garden,3,1098.87,177.66,2023-11-02
T000099,C0402,Home & Garden,8,2136.48,444.34,2023-11-02
T000101,C0556,Beauty & Health,7,169.26,65.38,2023-11-02
T000098,C0703,Clothing,5,578.9,170.64,2023-11-02
T000097,C0477,Clothing,4,257.12,77.32,2023-11-02
T000094,C0106,Food & Beverage,3,103.41,27.27,2023-11-02
T000095,C0772,Beauty & Health,7,523.39,125.11,2023-11-02
T000093,C0566,Toys & Games,6,138.84,41.72,2023-11-02
T000092,C0390,Toys & Games,2,198.3,68.39,2023-11-02
T000096,C0822,Food & Beverage,5,238.5,92.25,2023-11-02
T000116,C0725,Electronics,3,3901.29,978.76,2023-11-03
T000115,C0296,Home & Garden,5,1722.05,628.2,2023-11-03
T000114,C0702,Electronics,1,902.75,175.64,2023-11-03
T000113,C0252,Beauty & Health,8,173.76,39.65,2023-11-03
T000112,C0727,Food & Beverage,7,108.71,31.68,2023-11-03
T000111,C0462,Books,4,96.36,18.42,2023-11-03
T000109,C0271,Books,2,95.38,35.45,2023-11-03
T000110,C0456,Clothing,5,566.65,188.38,2023-11-03
T000107,C0863,Sports & Outdoors,9,793.08,284.32,2023-11-03
T000106,C0270,Books,1,32.94,5.17,2023-11-03
T000105,C0996,Food & Beverage,7,94.57,33.97,2023-11-03
T000104,C0958,Toys & Games,7,553.35,98.86,2023-11-03
T000103,C0202,Clothing,1,58.62,15.28,2023-11-03
T000102,C0162,Home & Garden,6,823.26,188.06,2023-11-03
T000108,C0816,Books,6,266.76,49.37,2023-11-03
T000125,C0764,Sports & Outdoors,9,1987.11,386.15,2023-11-04
T000131,C0015,Books,9,150.66,52.7,2023-11-04
T000130,C0157,Beauty & Health,5,442.5,132.49,2023-11-04
T000129,C0041,Beauty & Health,2,164.0,35.83,2023-11-04
T000128,C0493,Beauty & Health,6,124.2,18.77,2023-11-04
T000127,C0380,Beauty & Health,9,535.14,132.82,2023-11-04
T000124,C0217,Books,5,144.15,26.84,2023-11-04
T000126,C0188,Home & Garden,6,2839.74,1038.4,2023-11-04
T000122,C0792,Home & Garden,4,682.0,264.55,2023-11-04
T000123,C0922,Food & Beverage,3,76.41,29.54,2023-11-04
T000121,C0053,Food & Beverage,8,224.56,54.07,2023-11-04
T000120,C0879,Sports & Outdoors,7,1134.84,417.51,2023-11-04
T000119,C0338,Food & Beverage,6,217.32,53.41,2023-11-04
T000118,C0749,Food & Beverage,3,68.49,13.18,2023-11-04
T000117,C0720,Toys & Games,1,95.52,23.85,2023-11-04
T000147,C0419,Clothing,5,706.75,270.86,2023-11-05
T000146,C0675,Sports & Outdoors,10,2732.5,1039.53,2023-11-05
T000145,C0392,Beauty & Health,1,40.53,9.62,2023-11-05
T000144,C0593,Sports & Outdoors,3,559.11,221.04,2023-11-05
T000143,C0499,Sports & Outdoors,4,652.72,166.39,2023-11-05
T000142,C0139,Toys & Games,3,149.58,49.7,2023-11-05
T000141,C0063,Sports & Outdoors,10,1596.4,336.88,2023-11-05
T000140,C0472,Toys & Games,6,527.82,128.23,2023-11-05
T000139,C0648,Electronics,8,10487.36,3561.65,2023-11-05
T000138,C0129,Food & Beverage,6,152.52,39.23,2023-11-05
T000137,C0344,Toys & Games,7,534.52,182.96,2023-11-05
T000136,C0521,Beauty & Health,7,932.19,277.28,2023-11-05
T000135,C0839,Books,4,71.52,24.16,2023-11-05
T000134,C0857,Home & Garden,1,475.6,180.98,2023-11-05
T000133,C0065,Electronics,7,13841.73,2458.78,2023-11-05
T000132,C0813,Food & Beverage,8,313.76,57.53,2023-11-05
T000161,C0048,Home & Garden,9,3234.15,713.39,2023-11-06
T000160,C0033,Electronics,4,5366.92,1728.99,2023-11-06
T000158,C0780,Electronics,5,3810.9,1291.41,2023-11-06
T000157,C0840,Sports & Outdoors,3,439.11,112.57,2023-11-06
T000156,C0201,Books,3,40.71,8.14,2023-11-06
T000155,C0135,Food & Beverage,1,31.5,6.52,2023-11-06
T000159,C0930,Books,4,197.92,59.63,2023-11-06
T000153,C0041,Books,8,248.72,83.59,2023-11-06
T000152,C0231,Toys & Games,6,157.8,41.43,2023-11-06
T000151,C0490,Clothing,4,167.08,63.39,2023-11-06
T000150,C0773,Beauty & Health,2,193.12,49.88,2023-11-06
T000154,C0028,Toys & Games,3,156.66,41.79,2023-11-06
T000149,C0379,Home & Garden,1,94.77,33.13,2023-11-06
T000148,C0289,Home & Garden,1,334.97,70.5,2023-11-06
T000171,C0987,Home & Garden,5,876.0,303.94,2023-11-07
T000170,C0726,Sports & Outdoors,4,699.52,211.97,2023-11-07
T000169,C0872,Books,6,254.46,79.68,2023-11-07
T000168,C0684,Sports & Outdoors,9,330.03,63.51,2023-11-07
T000167,C0099,Beauty & Health,6,616.38,94.15,2023-11-07
T000166,C0805,Beauty & Health,3,216.63,54.53,2023-11-07
T000165,C0728,Clothing,6,429.18,170.59,2023-11-07
T000164,C0574,Clothing,3,586.98,208.02,2023-11-07
T000163,C0407,Home & Garden,4,370.52,59.69,2023-11-07
T000162,C0503,Electronics,7,6916.91,1870.05,2023-11-07
T000185,C0871,Home & Garden,3,387.21,107.06,2023-11-08
T000184,C0398,Toys & Games,8,781.2,230.67,2023-11-08
T000186,C0795,Home & Garden,7,2230.9,556.97,2023-11-08
T000183,C0767,Clothing,4,562.12,111.28,2023-11-08
T000182,C0503,Books,9,168.03,50.0,2023-11-08
T000181,C0218,Electronics,7,7317.94,2633.67,2023-11-08
T000180,C0005,Home & Garden,10,2320.3,592.37,2023-11-08
T000174,C0739,Home & Garden,8,3622.16,1166.32,2023-11-08
T000178,C0643,Books,10,376.2,98.99,2023-11-08
T000177,C0462,Beauty & Health,10,238.6,44.57,2023-11-08
T000176,C0943,Clothing,8,519.84,148.87,2023-11-08
T000175,C0613,Beauty & Health,4,430.44,99.3,2023-11-08
T000173,C0961,Electronics,3,2231.25,760.65,2023-11-08
T000172,C0547,Sports & Outdoors,6,279.78,59.72,2023-11-08
T000179,C0769,Home & Garden,3,922.74,341.69,2023-11-08
T000196,C0864,Clothing,6,891.24,251.83,2023-11-09
T000200,C0096,Food & Beverage,3,71.13,20.1,2023-11-09
T000201,C0900,Clothing,8,835.6,299.0,2023-11-09
T000199,C0564,Home & Garden,1,225.67,86.99,2023-11-09
T000198,C0241,Sports & Outdoors,10,2163.2,465.15,2023-11-09
T000197,C0743,Food & Beverage,1,13.83,4.51,2023-11-09
T000195,C0575,Beauty & Health,4,106.4,36.12,2023-11-09
T000188,C0207,Sports & Outdoors,7,1054.27,267.97,2023-11-09
T000193,C0461,Home & Garden,3,561.42,214.12,2023-11-09
T000192,C0892,Books,2,63.48,14.37,2023-11-09
T000191,C0554,Beauty & Health,6,483.06,122.69,2023-11-09
T000190,C0858,Clothing,10,1685.2,294.39,2023-11-09
T000189,C0015,Food & Beverage,10,164.4,27.65,2023-11-09
T000187,C0393,Electronics,3,3408.84,613.28,2023-11-09
T000194,C0691,Home & Garden,6,790.86,192.91,2023-11-09
T000214,C0699,Electronics,5,4206.5,1609.43,2023-11-10
T000213,C0839,Books,5,92.15,25.25,2023-11-10
T000212,C0160,Clothing,3,544.23,150.72,2023-11-10
T000211,C0525,Clothing,6,144.9,51.35,2023-11-10
T000210,C0036,Toys & Games,10,368.3,98.0,2023-11-10
T000209,C0541,Books,9,159.66,63.04,2023-11-10
T000207,C0655,Clothing,7,500.64,99.23,2023-11-10
T000206,C0749,Home & Garden,7,2447.2,657.86,2023-11-10
T000205,C0231,Books,8,292.4,44.43,2023-11-10
T000204,C0407,Sports & Outdoors,6,681.6,217.04,2023-11-10
T000203,C0485,Electronics,4,2603.72,455.79,2023-11-10
T000202,C0734,Beauty & Health,8,517.12,124.76,2023-11-10
T000208,C0171,Electronics,4,4760.6,1460.76,2023-11-10
T000222,C0953,Books,4,153.28,54.86,2023-11-11
T000225,C0028,Books,1,36.03,5.56,2023-11-11
T000224,C0796,Toys & Games,4,161.92,41.07,2023-11-11
T000226,C0620,Books,7,102.55,37.48,2023-11-11
T000221,C0574,Home & Garden,9,1825.65,494.85,2023-11-11
T000223,C0646,Beauty & Health,6,541.5,202.52,2023-11-11
T000219,C0682,Electronics,6,4207.8,866.7,2023-11-11
T000218,C0578,Beauty & Health,9,226.26,64.77,2023-11-11
T000217,C0796,Food & Beverage,9,303.93,68.1,2023-11-11
T000216,C0086,Food & Beverage,8,85.84,29.74,2023-11-11
T000215,C0243,Toys & Games,5,211.85,78.91,2023-11-11
T000220,C0557,Sports & Outdoors,6,1224.48,319.56,2023-11-11
T000227,C0556,Electronics,10,13046.2,2525.35,2023-11-12
T000228,C0340,Home & Garden,6,1480.32,452.19,2023-11-12
T000229,C0798,Sports & Outdoors,9,920.97,143.89,2023-11-12
T000230,C0958,Food & Beverage,7,225.26,56.29,2023-11-12
T000231,C0331,Clothing,7,1237.88,490.81,2023-11-12
T000232,C0640,Clothing,2,399.6,70.0,2023-11-12
T000238,C0225,Toys & Games,1,49.38,8.41,2023-11-13
T000237,C0190,Toys & Games,3,175.08,36.67,2023-11-13
T000236,C0231,Home & Garden,6,994.14,365.18,2023-11-13
T000234,C0348,Food & Beverage,10,232.1,52.64,2023-11-13
T000233,C0506,Books,9,308.79,79.03,2023-11-13
T000235,C0473,Food & Beverage,9,136.17,51.24,2023-11-13
T000246,C0745,Toys & Games,3,140.19,51.08,2023-11-14
T000245,C0973,Toys & Games,9,622.17,126.36,2023-11-14
T000243,C0633,Electronics,4,7019.72,1287.06,2023-11-14
T000244,C0628,Food & Beverage,8,274.32,88.22,2023-11-14
T000241,C0283,Home & Garden,1,218.05,69.34,2023-11-14
T000240,C0377,Electronics,3,3157.32,739.1,2023-11-14
T000239,C0385,Beauty & Health,4,553.44,169.79,2023-11-14
T000242,C0958,Home & Garden,3,667.77,105.53,2023-11-14
T000254,C0677,Beauty & Health,7,117.04,38.8,2023-11-15
T000258,C0684,Books,6,93.18,23.04,2023-11-15
T000257,C0234,Sports & Outdoors,7,858.2,258.19,2023-11-15
T000256,C0819,Toys & Games,10,557.4,199.12,2023-11-15
T000255,C0225,Toys & Games,9,807.48,184.61,2023-11-15
T000253,C0318,Toys & Games,6,440.34,133.19,2023-11-15
T000251,C0411,Clothing,4,366.76,119.47,2023-11-15
T000252,C0649,Electronics,10,12457.5,2437.51,2023-11-15
T000250,C0456,Home & Garden,6,1684.44,435.04,2023-11-15
T000249,C0710,Books,5,224.15,89.58,2023-11-15
T000248,C0359,Toys & Games,10,230.7,47.03,2023-11-15
T000247,C0259,Food & Beverage,6,250.86,41.3,2023-11-15
T000269,C0830,Electronics,4,4021.08,1021.06,2023-11-16
T000267,C0692,Electronics,2,1328.06,511.41,2023-11-16
T000266,C0233,Home & Garden,7,2893.59,783.11,2023-11-16
T000265,C0472,Home & Garden,9,2877.03,978.99,2023-11-16
T000264,C0608,Beauty & Health,10,1447.9,362.3,2023-11-16
T000268,C0113,Toys & Games,6,310.68,69.41,2023-11-16
T000262,C0374,Beauty & Health,9,959.58,240.55,2023-11-16
T000261,C0827,Sports & Outdoors,1,138.98,26.6,2023-11-16
T000260,C0975,Sports & Outdoors,2,328.02,96.5,2023-11-16
T000259,C0664,Electronics,1,1159.2,335.48,2023-11-16
T000263,C0672,Home & Garden,10,2394.0,564.64,2023-11-16
T000280,C0625,Toys & Games,1,30.38,7.15,2023-11-17
T000279,C0613,Books,4,60.0,19.14,2023-11-17
T000278,C0113,Books,10,433.2,160.77,2023-11-17
T000277,C0387,Beauty & Health,6,529.74,120.3,2023-11-17
T000276,C0386,Electronics,4,6012.52,2404.01,2023-11-17
T000274,C0510,Clothing,4,692.24,172.82,2023-11-17
T000273,C0268,Toys & Games,2,51.62,8.43,2023-11-17
T000272,C0564,Sports & Outdoors,5,255.75,73.34,2023-11-17
T000271,C0442,Home & Garden,1,437.5,125.35,2023-11-17
T000270,C0497,Books,1,32.78,11.37,2023-11-17
T000275,C0807,Books,1,18.51,4.03,2023-11-17
T000286,C0642,Beauty & Health,8,1124.88,263.0,2023-11-18
T000287,C0220,Beauty & Health,3,383.97,61.63,2023-11-18
T000285,C0002,Beauty & Health,8,775.2,182.09,2023-11-18
T000283,C0699,Clothing,9,852.3,316.07,2023-11-18
T000282,C0081,Books,2,95.72,34.47,2023-11-18
T000281,C0952,Books,7,225.89,64.58,2023-11-18
T000284,C0113,Food & Beverage,3,59.13,11.24,2023-11-18
T000299,C0730,Electronics,7,9383.64,1914.81,2023-11-19
T000298,C0684,Home & Garden,10,2776.1,428.82,2023-11-19
T000296,C0130,Beauty & Health,1,22.61,8.22,2023-11-19
T000295,C0638,Toys & Games,5,414.8,135.78,2023-11-19
T000294,C0403,Beauty & Health,4,189.16,35.04,2023-11-19
T000297,C0053,Books,7,173.46,55.76,2023-11-19
T000292,C0225,Books,2,85.64,26.29,2023-11-19
T000291,C0736,Beauty & Health,9,875.52,293.31,2023-11-19
T000290,C0997,Food & Beverage,4,40.32,9.89,2023-11-19
T000289,C0855,Sports & Outdoors,2,72.18,26.25,2023-11-19
T000288,C0566,Home & Garden,4,1991.88,596.69,2023-11-19
T000293,C0385,Books,3,64.23,15.67,2023-11-19
T000308,C0123,Food & Beverage,7,72.59,12.41,2023-11-20
T000307,C0184,Beauty & Health,5,132.15,51.92,2023-11-20
T000306,C0203,Toys & Games,10,407.6,131.45,2023-11-20
T000305,C0439,Beauty & Health,2,202.94,58.62,2023-11-20
T000302,C0416,Food & Beverage,6,195.42,66.27,2023-11-20
T000303,C0247,Beauty & Health,2,188.06,33.41,2023-11-20
T000301,C0710,Food & Beverage,4,83.88,24.54,2023-11-20
T000300,C0672,Electronics,9,14336.28,2399.46,2023-11-20
T000309,C0401,Electronics,1,836.87,314.08,2023-11-20
T000304,C0836,Clothing,4,474.28,170.54,2023-11-20
T000317,C0982,Home & Garden,8,1090.72,390.68,2023-11-21
T000316,C0198,Electronics,8,8724.16,2853.12,2023-11-21
T000318,C0907,Home & Garden,6,465.3,83.93,2023-11-21
T000315,C0610,Books,6,157.14,46.91,2023-11-21
T000313,C0837,Books,10,415.6,156.5,2023-11-21
T000312,C0280,Books,7,266.35,96.65,2023-11-21
T000311,C0294,Beauty & Health,10,1284.6,318.89,2023-11-21
T000310,C0767,Books,10,300.1,54.48,2023-11-21
T000314,C0884,Clothing,6,499.08,138.04,2023-11-21
T000337,C0511,Home & Garden,4,1523.92,386.34,2023-11-22
T000336,C0963,Sports & Outdoors,2,497.72,180.25,2023-11-22
T000335,C0346,Sports & Outdoors,5,863.6,155.94,2023-11-22
T000334,C0403,Beauty & Health,1,83.57,29.7,2023-11-22
T000333,C0932,Food & Beverage,7,94.43,34.49,2023-11-22
T000332,C0955,Beauty & Health,5,378.5,110.22,2023-11-22
T000331,C0764,Home & Garden,6,2002.56,604.23,2023-11-22
T000330,C0660,Toys & Games,9,514.71,164.6,2023-11-22
T000328,C0349,Home & Garden,6,1404.12,464.81,2023-11-22
T000329,C0771,Books,7,255.36,90.16,2023-11-22
T000326,C0326,Toys & Games,10,763.1,296.31,2023-11-22
T000325,C0187,Home & Garden,1,423.34,121.52,2023-11-22
T000324,C0124,Books,10,201.0,77.64,2023-11-22
T000323,C0201,Electronics,9,15023.7,4166.12,2023-11-22
T000322,C0609,Toys & Games,5,118.65,30.37,2023-11-22
T000321,C0144,Beauty & Health,2,75.04,19.71,2023-11-22
T000320,C0752,Toys & Games,5,495.7,134.0,2023-11-22
T000319,C0511,Sports & Outdoors,3,568.65,200.46,2023-11-22
T000327,C0464,Electronics,5,9592.55,1871.24,2023-11-22
T000349,C0872,Sports & Outdoors,10,699.9,120.21,2023-11-23
T000348,C0338,Books,1,31.69,8.27,2023-11-23
T000347,C0551,Beauty & Health,10,645.7,141.42,2023-11-23
T000346,C0640,Electronics,5,2782.75,942.22,2023-11-23
T000345,C0936,Home & Garden,6,2515.74,440.4,2023-11-23
T000344,C0929,Food & Beverage,2,14.96,4.1,2023-11-23
T000342,C0820,Food & Beverage,3,135.69,29.29,2023-11-23
T000341,C0711,Electronics,2,2500.92,880.55,2023-11-23
T000340,C0864,Beauty & Health,6,673.68,173.81,2023-11-23
T000339,C0148,Electronics,5,3350.4,1231.08,2023-11-23
T000338,C0147,Food & Beverage,7,244.09,52.09,2023-11-23
T000343,C0489,Electronics,7,13158.67,1986.73,2023-11-23
T000356,C0151,Home & Garden,6,2204.82,777.76,2023-11-24
T000355,C0946,Electronics,8,14999.68,4799.29,2023-11-24
T000354,C0473,Beauty & Health,2,222.88,84.55,2023-11-24
T000357,C0415,Books,2,73.74,13.07,2023-11-24
T000352,C0988,Books,4,66.96,12.58,2023-11-24
T000351,C0779,Electronics,2,1025.06,354.03,2023-11-24
T000350,C0641,Books,4,159.4,35.33,2023-11-24
T000353,C0953,Beauty & Health,1,93.41,29.12,2023-11-24
T000368,C0002,Toys & Games,1,87.2,32.69,2023-11-25
T000367,C0881,Food & Beverage,7,95.48,25.61,2023-11-25
T000366,C0572,Electronics,3,1833.78,586.22,2023-11-25
T000365,C0624,Beauty & Health,7,598.15,207.03,2023-11-25
T000364,C0346,Beauty & Health,7,795.48,128.18,2023-11-25
T000362,C0764,Electronics,9,13614.21,4301.3,2023-11-25
T000361,C0263,Clothing,7,813.54,252.11,2023-11-25
T000360,C0611,Food & Beverage,9,93.69,30.8,2023-11-25
T000359,C0298,Home & Garden,10,505.8,188.98,2023-11-25
T000358,C0990,Home & Garden,6,1364.7,290.25,2023-11-25
T000369,C0897,Toys & Games,9,701.91,164.27,2023-11-25
T000363,C0144,Sports & Outdoors,5,713.55,180.92,2023-11-25
T000377,C0233,Home & Garden,10,3506.1,863.41,2023-11-26
T000378,C0099,Books,7,119.49,42.91,2023-11-26
T000375,C0160,Food & Beverage,10,498.8,101.64,2023-11-26
T000374,C0037,Electronics,5,2588.35,472.85,2023-11-26
T000376,C0009,Beauty & Health,5,264.7,83.13,2023-11-26
T000372,C0652,Sports & Outdoors,5,1486.8,519.26,2023-11-26
T000373,C0453,Beauty & Health,7,302.89,84.43,2023-11-26
T000371,C0254,Food & Beverage,6,61.74,22.73,2023-11-26
T000370,C0304,Toys & Games,10,915.8,204.75,2023-11-26
T000388,C0920,Home & Garden,3,391.44,82.1,2023-11-27
T000387,C0673,Food & Beverage,3,57.27,21.53,2023-11-27
T000386,C0120,Sports & Outdoors,6,522.18,128.68,2023-11-27
T000385,C0054,Sports & Outdoors,6,725.04,114.81,2023-11-27
T000384,C0152,Toys & Games,3,209.94,40.26,2023-11-27
T000389,C0628,Sports & Outdoors,8,2188.16,441.19,2023-11-27
T000382,C0131,Clothing,3,421.95,146.49,2023-11-27
T000381,C0208,Beauty & Health,3,174.66,42.68,2023-11-27
T000380,C0816,Food & Beverage,7,319.76,112.37,2023-11-27
T000379,C0659,Books,10,332.1,128.69,2023-11-27
T000383,C0404,Sports & Outdoors,10,807.3,192.02,2023-11-27
T000399,C0112,Books,7,114.03,18.96,2023-11-28
T000398,C0227,Home & Garden,8,2437.12,532.54,2023-11-28
T000397,C0254,Electronics,3,5374.65,1547.6,2023-11-28
T000396,C0852,Sports & Outdoors,5,741.35,137.08,2023-11-28
T000395,C0104,Electronics,3,5870.49,2227.56,2023-11-28
T000394,C0422,Sports & Outdoors,4,923.96,147.25,2023-11-28
T000392,C0968,Electronics,10,11726.1,4062.46,2023-11-28
T000391,C0625,Home & Garden,7,1122.66,175.42,2023-11-28
T000390,C0587,Books,8,207.12,81.29,2023-11-28
T000393,C0420,Sports & Outdoors,4,466.16,107.38,2023-11-28
T000408,C0338,Toys & Games,9,614.34,232.03,2023-11-29
T000411,C0163,Beauty & Health,1,105.09,24.16,2023-11-29
T000410,C0822,Home & Garden,8,3940.96,1462.77,2023-11-29
T000409,C0706,Food & Beverage,6,117.9,38.78,2023-11-29
T000406,C0896,Sports & Outdoors,6,1396.08,355.43,2023-11-29
T000407,C0878,Toys & Games,2,118.18,45.17,2023-11-29
T000404,C0861,Electronics,7,8124.55,2204.93,2023-11-29
T000403,C0153,Food & Beverage,9,405.36,137.88,2023-11-29
T000402,C0099,Food & Beverage,5,171.4,28.77,2023-11-29
T000401,C0473,Clothing,9,1011.78,181.0,2023-11-29
T000400,C0510,Electronics,3,4607.79,748.68,2023-11-29
T000405,C0914,Food & Beverage,7,318.85,75.16,2023-11-29
T000426,C0135,Home & Garden,7,2214.17,783.15,2023-11-30
T000425,C0392,Beauty & Health,9,523.26,80.65,2023-11-30
T000424,C0896,Books,4,72.04,18.06,2023-11-30
T000422,C0916,Food & Beverage,10,360.1,63.03,2023-11-30
T000421,C0816,Beauty & Health,1,37.24,8.1,2023-11-30
T000420,C0277,Sports & Outdoors,9,908.37,301.42,2023-11-30
T000419,C0398,Home & Garden,2,494.46,127.94,2023-11-30
T000423,C0504,Sports & Outdoors,9,1520.37,362.01,2023-11-30
T000417,C0580,Books,1,28.0,11.1,2023-11-30
T000416,C0161,Electronics,8,4286.64,1072.36,2023-11-30
T000415,C0996,Toys & Games,8,196.08,53.02,2023-11-30
T000414,C0681,Toys & Games,10,698.7,213.74,2023-11-30
T000413,C0957,Beauty & Health,1,59.09,17.93,2023-11-30
T000412,C0720,Home & Garden,5,348.65,85.52,2023-11-30
T000418,C0801,Clothing,9,718.92,255.42,2023-11-30
T000436,C0375,Beauty & Health,8,813.68,182.83,2023-12-01
T000435,C0470,Home & Garden,9,2381.85,578.71,2023-12-01
T000434,C0883,Home & Garden,8,2809.76,1123.03,2023-12-01
T000433,C0955,Home & Garden,3,1117.05,432.94,2023-12-01
T000432,C0460,Toys & Games,9,722.43,218.3,2023-12-01
T000430,C0033,Home & Garden,2,831.08,161.02,2023-12-01
T000429,C0640,Books,9,116.37,19.61,2023-12-01
T000428,C0401,Sports & Outdoors,5,349.05,103.01,2023-12-01
T000427,C0195,Electronics,6,3650.04,875.27,2023-12-01
